date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:44	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu&id=dessert	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content3ba5.html	(from https://yogurtworld.co.kr/)
11:51:44	56486/56486	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=brand/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content7438.html	(from https://yogurtworld.co.kr/)
11:51:44	40836/40836	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=interior/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content2ccf.html	(from https://yogurtworld.co.kr/)
11:51:44	111228/111228	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:43%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=community/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content1ea6.html	(from https://yogurtworld.co.kr/)
11:51:45	49530/49530	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:43%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=store/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content3044.html	(from https://yogurtworld.co.kr/)
11:51:45	90826/90826	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:43%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=catering/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content8373.html	(from https://yogurtworld.co.kr/)
11:51:45	2495/2495	---M--	200	added ('OK')	image/png	etag:%229bf-61d56ba864949%22	https://yogurtworld.co.kr/images/header_logo.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/header_logo.png	(from https://yogurtworld.co.kr/)
11:51:45	56486/56486	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:43%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=brand	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content639d.html	(from https://yogurtworld.co.kr/)
11:51:45	39117/39117	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:44%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=franchise	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content66cb.html	(from https://yogurtworld.co.kr/)
11:51:46	40836/40836	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:44%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=interior	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/contentab44.html	(from https://yogurtworld.co.kr/)
11:51:46	111228/111228	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:44%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=community	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content79d1.html	(from https://yogurtworld.co.kr/)
11:51:46	49530/49530	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:44%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=store	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content27b2.html	(from https://yogurtworld.co.kr/)
